# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.totalMisses,1689331647601000000,1689331707593000000,23562
FileNameCache.fastMisses,1689331647601000000,1689331707593000000,34778
DirectByteBufferAllocator.hits,1689331707593000000,1689331767612000000,0
FilePageCache.capacityInBytes,1689331707593000000,1689331767612000000,524288000
FilePageCache.pageLoads,1689331707593000000,1689331767612000000,29
StorageLockContext.competingThreads.90P,1689331707593000000,1689331767612000000,0
FilePageCache.pageHits,1689331707593000000,1689331767612000000,695
FilePageCache.pageFastCacheHits,1689331707593000000,1689331767612000000,307529
FilePageCache.maxRegisteredFiles,1689331707593000000,1689331767612000000,708
DirectByteBufferAllocator.reclaimed,1689331707593000000,1689331767612000000,0
FilePageCache.totalPageDisposalsUs,1689331707593000000,1689331767612000000,24
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1689331707593000000,1689331767612000000,0
StorageLockContext.competingThreads.max,1689331707593000000,1689331767612000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1689331707593000000,1689331767612000000,0
DirectByteBufferAllocator.misses,1689331707593000000,1689331767612000000,29
FilePageCache.totalPageLoadsUs,1689331707593000000,1689331767612000000,209008
DirectByteBufferAllocator.disposed,1689331707593000000,1689331767612000000,0
FilePageCache.uncachedFileAccess,1689331707593000000,1689331767612000000,16
StorageLockContext.competingThreads.avg,1689331707593000000,1689331767612000000,0.0
FilePageCache.maxCacheSizeInBytes,1689331707593000000,1689331767612000000,327475200
FilePageCache.disposedBuffers,1689331707593000000,1689331767612000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1689331707593000000,1689331767612000000,1008430
FlushQueue.executionTimeAvgNs,1689331707593000000,1689331767612000000,1809666.5535211267
AWTEventQueue.dispatchTimeAvgNs,1689331707593000000,1689331767612000000,1853912.0162271806
FlushQueue.executionTime90PNs,1689331707593000000,1689331767612000000,679935
AWTEventQueue.dispatchTime90PNs,1689331707593000000,1689331767612000000,3522559
FlushQueue.queueSizeMax,1689331707593000000,1689331767612000000,21
FlushQueue.queueSizeAvg,1689331707593000000,1689331767612000000,0.8450704225352113
FlushQueue.tasksExecuted,1689331707593000000,1689331767612000000,1420
FlushQueue.waitingTime90PNs,1689331707593000000,1689331767612000000,8847359
NonBlockingReadAction.finalizedExecutionsCount,1689331707593000000,1689331767612000000,74
FlushQueue.waitingTimeMaxNs,1689331707593000000,1689331767612000000,1895825407
AWTEventQueue.eventsDispatched,1689331707593000000,1689331767612000000,3451
FlushQueue.waitingTimeAvgNs,1689331707593000000,1689331767612000000,1.5642317633802816E7
NonBlockingReadAction.failedExecutionsCount,1689331707593000000,1689331767612000000,5
NonBlockingReadAction.failedExecutionTimeUs,1689331707593000000,1689331767612000000,71263
FlushQueue.queueSize90P,1689331707593000000,1689331767612000000,2
AWTEventQueue.dispatchTimeMaxNs,1689331707593000000,1689331767612000000,1879048191
FlushQueue.executionTimeMaxNs,1689331707593000000,1689331767612000000,1879048191
FileNameCache.queries,1689331707593000000,1689331767612000000,896332
FileNameCache.totalMisses,1689331707593000000,1689331767612000000,3535
FileNameCache.fastMisses,1689331707593000000,1689331767612000000,134457
